Date,Open,High,Low,Close,Adj Close,Volume
2011-06-01,15.579400,15.695000,15.259100,15.337800,9.065281,3113066
2011-06-02,15.421900,15.637200,15.290600,15.574200,9.205003,3200222
2011-06-03,15.611000,16.236099,15.611000,16.215000,9.583744,4584822
2011-06-06,16.246599,16.278099,15.941900,16.125700,9.530962,3044749
2011-06-07,16.211500,16.227301,15.996100,16.059099,9.491598,2026471
2011-06-08,15.941900,16.162500,15.847400,15.962900,9.434741,1561956
2011-06-09,15.936600,16.099501,15.747600,15.768600,9.319901,1635030
2011-06-10,15.768600,15.826300,15.574200,15.726500,9.295017,2434087
2011-06-13,15.873600,15.968200,15.695000,15.742300,9.304357,2285084
2011-06-14,15.889400,15.889400,15.605700,15.857900,9.372681,1652157
2011-06-15,15.747600,15.915700,15.663500,15.810600,9.344724,2347882
2011-06-16,15.868400,15.968200,15.689700,15.863100,9.375754,2613346
2011-06-17,15.868400,15.957700,15.758100,15.758100,9.313695,1945975
2011-06-20,15.779100,16.257099,15.710800,16.220301,9.586877,3373963
2011-06-21,16.283300,16.425100,16.125700,16.362101,9.670685,3671587
2011-06-22,16.304300,16.493401,16.204500,16.204500,9.577537,2747696
2011-06-24,16.383101,16.535500,16.204500,16.467199,9.732803,2559683
2011-06-27,16.540701,16.540701,16.272800,16.372601,9.676890,1821141
2011-06-28,16.461901,16.624800,16.272800,16.624800,9.825952,2334942
2011-06-29,16.656300,16.687799,16.404200,16.687799,9.863188,3645136
2011-06-30,16.687799,16.698299,16.519699,16.635300,9.832156,2874814
2011-07-01,16.561701,16.850599,16.540701,16.587999,9.804200,2372431
2011-07-04,16.735100,16.803301,16.472401,16.624800,9.825952,760616
2011-07-05,16.598499,16.855900,16.388399,16.388399,9.686230,2568246
2011-07-06,16.472401,16.624800,16.293900,16.493401,9.748290,1904681
2011-07-07,16.619499,16.624800,16.178200,16.230801,9.593081,3530768
2011-07-08,16.314800,16.314800,16.052200,16.183500,9.565124,3252934
2011-07-11,16.204500,16.299101,15.962900,16.020700,9.468903,1889077
2011-07-12,16.015400,16.236099,15.899900,16.220301,9.586877,2446456
2011-07-13,16.272800,16.388399,16.089001,16.356899,9.667611,2312107
2011-07-14,16.388399,16.388399,16.152000,16.383101,9.683097,2348834
2011-07-15,16.440901,16.682501,16.377899,16.493401,9.748290,2759685
2011-07-18,16.474300,16.647699,16.237801,16.237801,9.597219,1534554
2011-07-19,16.367399,16.414700,16.120501,16.125700,9.530962,2435990
2011-07-20,16.141500,16.330601,16.020700,16.020700,9.468903,2629522
2011-07-21,16.167801,16.309601,16.078501,16.204500,9.577537,2055777
2011-07-22,16.225500,16.304300,16.083700,16.099501,9.515477,1461289
2011-07-25,16.106400,16.290300,16.027599,16.285101,9.625175,2598
2011-07-26,16.120501,16.178200,15.800100,15.842100,9.363342,1749779
2011-07-27,15.789600,15.915700,15.537500,15.548000,9.189519,3029906
2011-07-28,15.548000,15.863100,15.421900,15.768600,9.319901,4736679
2011-07-29,15.559900,15.764800,15.302400,15.328700,9.059902,3332
2011-08-01,15.626700,15.836800,15.484900,15.653000,9.251576,1927136
2011-08-02,15.579400,15.737100,15.285300,15.285300,9.034250,2404591
2011-08-03,15.232800,15.301100,14.865100,15.006900,8.869704,3086424
2011-08-04,14.718000,14.928200,14.476400,14.917600,8.816925,5857337
2011-08-05,14.917600,15.285300,14.660200,15.022700,8.879044,4370548
2011-08-08,14.917600,14.917600,13.882800,14.003600,8.276712,3706602
2011-08-09,13.961700,14.597200,13.961700,14.492200,8.565496,4952856
2011-08-10,14.182300,14.649700,14.082500,14.444900,8.537539,4268548
2011-08-11,14.444900,14.765300,14.245300,14.549900,8.599598,3363116
2011-08-12,14.529900,14.650800,14.240900,14.240900,8.416967,3096891
2011-08-15,14.413400,14.471100,14.182300,14.392400,8.506509,3093465
2011-08-16,14.182300,14.628700,14.156000,14.628700,8.646173,3356265
2011-08-17,14.682300,14.713900,14.367000,14.666600,8.668572,3367303
2011-08-18,14.339900,14.523700,14.187500,14.523700,8.584113,2309062
2011-08-19,14.387100,14.528900,14.245300,14.313600,8.459936,2036557
2011-08-22,14.287300,14.539400,14.266300,14.444900,8.537539,1638836
2011-08-23,14.444900,14.444900,14.182300,14.439600,8.534406,2944463
2011-08-24,14.408100,14.607700,14.339900,14.597200,8.627555,3111734
2011-08-25,14.518400,14.607700,14.192800,14.549900,8.599598,2560634
2011-08-26,14.376600,15.012200,14.371300,14.891400,8.801442,3319157
2011-08-29,14.922900,15.138200,14.796800,15.001700,8.866632,2561776
2011-08-30,14.943900,15.127700,14.844100,15.075200,8.910073,2435800
2011-08-31,15.143500,15.495400,15.064700,15.495400,9.158428,4890438
2011-09-01,15.658300,15.726500,15.374600,15.495400,9.158428,4749429
2011-09-02,15.416600,15.579400,15.185500,15.185500,8.975265,3416019
2011-09-05,14.933400,15.301100,14.928200,15.206500,8.987677,1313429
2011-09-06,14.943900,15.364100,14.870300,15.311600,9.049795,3248557
2011-09-08,15.406100,15.474400,15.133000,15.206500,8.987677,3163495
2011-09-09,15.127700,15.227500,14.765300,14.933400,8.826262,2487560
2011-09-12,14.865100,14.959600,14.691800,14.959600,8.841747,3682815
2011-09-13,14.954400,15.091000,14.786300,14.954400,8.838675,2155112
2011-09-14,14.954400,15.085700,14.807300,15.049000,8.894588,3007451
2011-09-15,15.043700,15.180300,14.807300,14.891400,8.801442,2442460
2011-09-16,14.838800,15.169800,14.838800,15.054200,8.897662,2428759
2011-09-19,14.896600,15.227500,14.854600,15.227500,9.000089,2405923
2011-09-20,15.222300,15.427200,15.027900,15.337800,9.065281,2765203
2011-09-21,15.343100,15.674000,15.301100,15.390400,9.096370,4346570
2011-09-22,15.049000,15.148800,14.649700,14.964900,8.844881,4899573
2011-09-23,14.849300,14.943900,14.660200,14.812600,8.754866,2993750
2011-09-26,14.782200,15.081700,14.529900,14.666600,8.668572,2705450
2011-09-27,14.838800,14.849300,14.586700,14.586700,8.621349,2600597
2011-09-28,14.602500,14.807300,14.313600,14.324100,8.466141,2980049
2011-09-29,14.324100,14.607700,14.324100,14.602500,8.630688,3815071
2011-09-30,14.486900,14.565700,14.360800,14.565700,8.608936,3495943
2011-10-03,14.402900,14.639200,14.135000,14.182300,8.382331,3495943
2011-10-04,14.088500,14.204100,13.694400,13.925600,8.230612,4131725
2011-10-05,13.872300,14.040400,13.583500,13.788300,8.149462,3479197
2011-10-06,13.977400,14.135000,13.693800,13.693800,8.093607,3778915
2011-10-07,13.741000,13.872300,13.373300,13.473200,7.963226,3839619
2011-10-10,13.630700,13.788300,13.530900,13.788300,8.149462,2825718
2011-10-11,13.735800,13.830300,13.672700,13.783000,8.146328,3333810
2011-10-13,13.788300,13.893300,13.436400,13.630700,8.056314,4025349
2011-10-14,13.630700,13.788300,13.578200,13.735800,8.118432,2883758
2011-10-17,13.731200,13.741700,13.557800,13.636600,8.059801,5703577
2011-10-18,13.725300,13.735800,13.551900,13.630700,8.056314,5703577
2011-10-19,14.045700,14.360800,13.919600,14.360800,8.487832,3902417
2011-10-20,14.318800,14.392400,14.187500,14.313600,8.459936,3386903
2011-10-21,14.392400,14.465900,14.229500,14.339900,8.475480,2518579
2011-10-24,14.372300,14.650800,14.256700,14.493100,8.566028,3033332
2011-10-25,14.820000,15.107200,14.700800,14.944600,8.832884,2940429
2011-10-26,14.722500,14.874200,14.234800,14.494900,8.567092,7627775
2011-10-27,14.549000,15.172200,14.538200,15.172200,8.967402,5424851
2011-10-28,15.006900,15.017400,14.676000,14.728500,8.705159,6686460
2011-10-31,14.618200,14.865100,14.544700,14.865100,8.785895,2371289
2011-11-01,14.707600,15.096200,14.549900,15.022700,8.879044,3218871
2011-11-03,15.232800,15.432400,15.138200,15.285300,9.034250,2258253
2011-11-04,15.127700,15.427200,14.833600,15.427200,9.118119,1875756
2011-11-07,15.379900,15.632000,15.358800,15.490200,9.155354,1833320
2011-11-08,15.458600,15.590000,15.054200,15.232800,9.003221,2224189
2011-11-09,15.122500,15.190800,14.880900,15.070000,8.907001,3142943
2011-11-10,null,null,null,null,null,null
2011-11-11,15.390400,15.595200,15.185500,15.590000,9.214341,3805366
2011-11-14,15.500700,15.558500,15.259100,15.474400,9.146017,2847412
2011-11-16,15.427200,15.815800,15.364100,15.758100,9.313695,3737049
2011-11-17,15.679300,15.941900,15.484900,15.548000,9.189519,2853311
2011-11-18,15.574200,15.721300,15.421900,15.537500,9.183311,1304865
2011-11-21,15.500700,15.653000,15.348300,15.653000,9.251576,1930942
2011-11-22,15.600500,15.747600,15.421900,15.642500,9.245371,2974149
2011-11-23,15.495400,15.642500,15.364100,15.448100,9.130473,2142742
2011-11-24,15.548000,15.700300,15.238000,15.348300,9.071486,1328653
2011-11-25,15.154000,15.679300,15.154000,15.495400,9.158428,2824766
2011-11-28,15.579400,15.747600,15.500700,15.689700,9.273268,1304865
2011-11-29,15.684600,15.705500,15.479700,15.521700,9.173972,2183466
2011-11-30,15.752800,16.293900,15.616200,16.293900,9.630376,6336885
2011-12-01,16.335800,16.545900,16.078501,16.183500,9.565124,4865319
2011-12-02,16.178200,16.383101,15.332600,15.427200,9.118119,5575127
2011-12-05,15.579400,15.941900,15.495400,15.915700,9.406844,3920495
2011-12-06,15.884100,16.278099,15.784300,16.267599,9.614828,2523907
